id,title,description,google_product_category,link,image_link,availability,price,brand,identifier_exists,condition
CR3583-7,"Mega Sprout Tote Rhum Suede","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",,https://www.littleliffner.com/products/mega-sprout-tote-rhum-suede?variant=40605177675869,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-rhum-suede-120569.jpg?v=1683159364,in stock,595.0,Little Liffner,no,new
CR3771-4,"Sprout Tote Mini Rhum Suede","<span style=""color: #f8f6f1;"">Sprout Tote Mini Rhum Suede</span>",,https://www.littleliffner.com/products/sprout-tote-mini-rhum-suede?variant=40605190881373,https://cdn.shopify.com/s/files/1/0108/5022/products/sprout-tote-mini-rhum-suede-665110.jpg?v=1697061904,in stock,495.0,Little Liffner,no,new
CR3771-1,"Sprout Tote Mini Black Suede","<span style=""color: #f8f6f1;"">Sprout Tote Mini Black Suede</span>",,https://www.littleliffner.com/products/sprout-tote-mini-black-suede?variant=40605191569501,https://cdn.shopify.com/s/files/1/0108/5022/files/sprout-tote-mini-black-suede-530876.jpg?v=1696428007,in stock,495.0,Little Liffner,no,new
SEGG32886,"Mini Barbell Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Mini Barbell Gold</span></p>",,https://www.littleliffner.com/products/mini-barbell-gold?variant=40658915786845,https://cdn.shopify.com/s/files/1/0108/5022/products/mini-barbell-gold-795340.jpg?v=1667938213,in stock,325.0,Little Liffner,no,new
SE32938PRL,"Pearl Mini Barbell Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Pearl Mini Barbell Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/pearl-barbell-silver?variant=40658932039773,https://cdn.shopify.com/s/files/1/0108/5022/products/pearl-mini-barbell-silver-939294.jpg?v=1667938235,in stock,300.0,Little Liffner,no,new
SEGG32938P,"Pearl Mini Barbell Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Pearl Mini Barbell Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/pearl-barbell-gold?variant=40658946555997,https://cdn.shopify.com/s/files/1/0108/5022/products/pearl-mini-barbell-gold-526939.jpg?v=1667938237,in stock,325.0,Little Liffner,no,new
SEGG32947C,"Dalmatian Barbell Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Dalmatian Barbell Gold</span></p>",,https://www.littleliffner.com/products/dalmatian-barbell-gold?variant=40658954190941,https://cdn.shopify.com/s/files/1/0108/5022/products/dalmatian-barbell-gold-548838.jpg?v=1667938235,in stock,325.0,Little Liffner,no,new
SE32947CUS,"Dalmatian Barbell Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Dalmatian Barbell Silver</span></p>",,https://www.littleliffner.com/products/dalmatian-barbell-silver?variant=40658958221405,https://cdn.shopify.com/s/files/1/0108/5022/products/dalmatian-barbell-silver-351038.jpg?v=1667938235,in stock,300.0,Little Liffner,no,new
SE32950CUS-,"Marble & Sphere Earrings Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Marble &amp; Sphere Earrings Silver</span></p>",,https://www.littleliffner.com/products/marble-and-sphere-earrings-925-sterling-silver?variant=40658965299293,https://cdn.shopify.com/s/files/1/0108/5022/products/marble-sphere-earrings-silver-184904.jpg?v=1667938235,in stock,330.0,Little Liffner,no,new
SE32970PRL,"Cloud Pearl Earrings Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Cloud Pearl Earrings Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/cloud-pearl-earrings-silver?variant=40658974474333,https://cdn.shopify.com/s/files/1/0108/5022/products/cloud-pearl-earrings-silver-994217.jpg?v=1667938236,in stock,325.0,Little Liffner,no,new
SR14018,"Ice Cube Pinky Ring Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-silver?variant=40658980044893,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-silver-217630.jpg?v=1667938235,out of stock,300.0,Little Liffner,no,new
SR14019,"Ice Cube Pinky Ring Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-silver?variant=40658980077661,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-silver-217630.jpg?v=1667938235,in stock,300.0,Little Liffner,no,new
SR14020,"Ice Cube Pinky Ring Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-silver?variant=40658980110429,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-silver-217630.jpg?v=1667938235,in stock,300.0,Little Liffner,no,new
SRGG14018,"Ice Cube Pinky Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-gold?variant=40659063308381,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-gold-432269.jpg?v=1668197913,in stock,325.0,Little Liffner,no,new
SRGG14018,"Ice Cube Pinky Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-gold?variant=40659063341149,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-gold-432269.jpg?v=1668197913,in stock,325.0,Little Liffner,no,new
SRGG14018,"Ice Cube Pinky Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Ice Cube Pinky Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/ice-cube-pinky-ring-gold?variant=40659063373917,https://cdn.shopify.com/s/files/1/0108/5022/products/ice-cube-pinky-ring-gold-432269.jpg?v=1668197913,in stock,325.0,Little Liffner,no,new
SBSV7183,"Assembly Chain Bracelet","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"">Assembly Chain Bracelet</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/assembly-chain-bracelet?variant=40659070779485,https://cdn.shopify.com/s/files/1/0108/5022/products/assembly-chain-bracelet-936449.jpg?v=1667938212,in stock,790.0,Little Liffner,no,new
SG2810,"Point & Sphere Bangle Silver","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Point &amp; Sphere Bangle Silver</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/point-sphere-bangle-silver?variant=40659075039325,https://cdn.shopify.com/s/files/1/0108/5022/products/point-sphere-bangle-silver-965181.jpg?v=1667938235,in stock,425.0,Little Liffner,no,new
SGGG2810,"Point & Sphere Bangle Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Point &amp; Sphere Bangle Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/point-sphere-bangle-gold?variant=40659076710493,https://cdn.shopify.com/s/files/1/0108/5022/products/point-sphere-bangle-gold-379444.jpg?v=1667938235,in stock,495.0,Little Liffner,no,new
SEGG33161PRL,"Minimalist Baroque Earrings Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Baroque Pearl Earrings Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/minimalist-baroque-earrings-gold?variant=40662960046173,https://cdn.shopify.com/s/files/1/0108/5022/products/minimalist-baroque-earrings-gold-762159.jpg?v=1667938235,in stock,300.0,Little Liffner,no,new
CR3771-3,"Sprout Tote Mini Chestnut Suede","<span style=""color: #f8f6f1;"">Sprout Tote Mini Chestnut Suede</span>",Apparel & Accessories > Handbags, Wallets & Cases > Handbags,https://www.littleliffner.com/products/sprout-tote-mini-chestnut-suede?variant=40873391554653,https://cdn.shopify.com/s/files/1/0108/5022/products/sprout-tote-mini-chestnut-suede-719289.jpg?v=1691401678,out of stock,495.0,Little Liffner,no,new
CR3764-3,"Soft Tulip Tote Chestnut","<span style=""color: #f8f5f0;"">A new take on our classic Tulip</span><div id=""gtx-trans"" style=""position: absolute; left: 143px; top: -20px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/soft-tulip-tote-chestnut?variant=40900501995613,https://cdn.shopify.com/s/files/1/0108/5022/products/soft-tulip-tote-chestnut-557533.jpg?v=1675943536,in stock,625.0,Little Liffner,no,new
CR3583-8,"Mega Sprout Tote Chestnut Suede","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span>",,https://www.littleliffner.com/products/mega-sprout-tote-chestnut-suede?variant=40901289771101,https://cdn.shopify.com/s/files/1/0108/5022/products/mega-sprout-tote-chestnut-suede-452150.jpg?v=1691427340,in stock,595.0,Little Liffner,no,new
CR3715-9,"Sprout Tote Rhum Suede","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span><div id=""gtx-trans"" style=""position: absolute; left: 70px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/sprout-tote-rhum-suede?variant=40902487048285,https://cdn.shopify.com/s/files/1/0108/5022/files/sprout-tote-rhum-suede.jpg?v=1683117127,in stock,575.0,Little Liffner,no,new
KM0010-2,"Stripe Tote Beige - 30% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span color=""#f2ede9"" style=""color: #f2ede9;"" mce-data-marked=""1"">Stripe Tote Bag Beige</span></p><div id=""gtx-trans"" style=""position: absolute; left: 112px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",Apparel & Accessories > Handbags, Wallets & Cases > Handbags,https://www.littleliffner.com/products/stripe-tote-beige?variant=40915977076829,https://cdn.shopify.com/s/files/1/0108/5022/products/stripe-tote-beige-387755.jpg?v=1677025734,in stock,205.0,Little Liffner,no,new
