id,title,description,link,image_link,availability,price,brand,identifier_exists,condition
CR3670-2,Long Fine Belt Black - 50% off,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"">WAIST BELT WITH THE LITTLE LIFFNER NEW BOLD ‘MACCHERONI’ LOCK IN SILVER. </span>",https://www.littleliffner.com/products/long-fine-belt-black,https://cdn.shopify.com/s/files/1/0108/5022/products/long-fine-belt-black-650089.jpg?v=1648081043,out of stock,875.00,brand name,no,new
CR3586-23,Maccheroni Bag Biscotto,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Biscotto</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-biscotto,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-biscotto-355085.jpg?v=1699307374,in stock,5250.00,brand name,no,new
CR3514-1,Maccheroni Bag Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Black</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-bag-black,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-black-780884.jpg?v=1694576057,in stock,5250.00,brand name,no,new
CR3768-6,Maccheroni Bag Black Suede,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Black Suede</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-black-suede,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-black-suede-227930.jpg?v=1683295672,in stock,5250.00,brand name,no,new
CR3768-5,Maccheroni Bag Black Suede Gold,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Black Suede</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-black-suede-gold,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-black-suede-gold-693515.jpg?v=1699307375,in stock,5250.00,brand name,no,new
CR3586-22,Maccheroni Bag Caramel,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Caramel</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-bag-caramel,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-caramel-541917.jpg?v=1677025733,out of stock,5250.00,brand name,no,new
CR3586-30,Maccheroni Bag Cream / Gray,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Stripe</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-stripe-cream-gray,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-cream-gray-234461.jpg?v=1690018853,in stock,5250.00,brand name,no,new
CR3586-26,Maccheroni Bag Croc Embossed Dark Brown,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Black Suede</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-croc-embossed-dark-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-croc-embossed-dark-brown-272512.jpg?v=1690018858,in stock,5250.00,brand name,no,new
CR3586-29,Maccheroni Bag Fondant,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Fondant</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-fondant,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-fondant-415629.jpg?v=1690018852,in stock,5250.00,brand name,no,new
CR3586-31,Maccheroni Bag Grained Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" data-mce-style=""color: #f2ede9;""> Maccheromi Bag Fondant</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;"" data-mce-style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-black-grained,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-grained-black-141410.jpg?v=1691427343,in stock,5250.00,brand name,no,new
